"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount"
"30/06","Pologne","E.  Kowalczuk","out","Hannover 96","Germany",NA,NA,"fitness coach"
"01/07","Curaçao","C.  Benschop","out","Hannover 96","Germany","Ingolstadt",NA,""
"01/07","Autriche","Martin Harnik","out","Hannover 96","Germany","Werder",NA,"2 M€"
"01/07","Allemagne","Elias Huth","out","Hannover 96","Germany","Kaiserslautern",NA,""
"01/07","Turquie","Kenan Karaman","out","Hannover 96","Germany","Düsseldorf",NA,""
"01/07","Allemagne","Felix Klaus","out","Hannover 96","Germany","Wolfsburg",NA,""
"01/07","Allemagne","Sebastian Maier","out","Hannover 96","Germany","Bochum",NA,""
"01/07","Sénégal","Salif Sané","out","Hannover 96","Germany","Schalke 04",NA,"8 M€"
"01/07","Allemagne","Schmiedebach","out","Hannover 96","Germany","Union",NA,""
"31/08","Danemark","Uffe Bech","out","Hannover 96","Germany","Bröndby","Denmark","Loan"
"31/08","Sénégal","Babacar Gueye","out","Hannover 96","Germany","Paderborn",NA,""
"30/12","Allemagne","P.  Tschauner","out","Hannover 96","Germany","Ingolstadt",NA,""
"27/01","Allemagne","Breitenreiter","out","Hannover 96","Germany",NA,NA,"manager"
"09/04","Allemagne","Horst Heldt","out","Hannover 96","Germany",NA,NA,"Sporting Director"
"30/06","Allemagne","Marius Gersbeck","in","Osnabrück",NA,"Hertha Berlin","Germany","Return from loan"
"01/07","Pays-Bas","J.  Dilrosun","in","Man City B","England","Hertha Berlin","Germany",""
"01/07","Allemagne","Lukas Klünter","in","FC Köln",NA,"Hertha Berlin","Germany","Free"
"01/07","Allemagne","Pascal Köpke","in","Aue",NA,"Hertha Berlin","Germany","2 M€"
"01/07","Autriche","V.  Lazaro","in","Salzburg","Austria","Hertha Berlin","Germany","7 M€"
"19/08","Serbie","Marko Grujic","in","Liverpool","England","Hertha Berlin","Germany","Loan"
"28/08","Pays-Bas","D.  Luckassen","in","PSV","Netherlands","Hertha Berlin","Germany",""
"30/06","Autriche","V.  Lazaro","out","Hertha Berlin","Germany","Salzburg","Austria","Return from loan"
"30/06","Allemagne","Mitchell Weiser","out","Hertha Berlin","Germany","Bayer",NA,"12 M€"
"01/07","Allemagne","Julian Schieber","out","Hertha Berlin","Germany","Augsburg",NA,""
"01/01","Allemagne","A.  Esswein","out","Hertha Berlin","Germany","Stuttgart",NA,"Loan"
"31/01","Allemagne","Sinan Kurt","out","Hertha Berlin","Germany","Wattens","Austria","Loan"
"01/07","Algérie","Ishak Belfodil","in","Werder",NA,"Hoffenheim","Germany",""
"01/07","Allemagne","L.  Bittencourt","in","FC Köln",NA,"Hoffenheim","Germany","6 M€"
"01/07","Pays-Bas","Joshua Brenet","in","PSV","Netherlands","Hoffenheim","Germany",""
"01/07","Italie","Vincenzo Grifo","in","M'gladbach",NA,"Hoffenheim","Germany","5.5 M€"
"01/07","Brésil","Joelinton","in","Rapid","Austria","Hoffenheim","Germany","Return from loan"
"01/07","Brésil","Felipe Pires","in","Austria Vienna","Austria","Hoffenheim","Germany","Return from loan"
"25/07","Ghana","Kasim Nuhu","in","Young Boys","Switzerland","Hoffenheim","Germany","8 M€"
"31/08","Angleterre","Reiss Nelson","in","Arsenal B","England","Hoffenheim","Germany","Loan"
"30/06","Allemagne","Felix Passlack","out","Hoffenheim","Germany","Dortmund",NA,"Return from loan"
"01/07","Allemagne","Serge Gnabry","out","Hoffenheim","Germany","Bayern",NA,"Return from loan"
"01/07","Pologne","Eugen Polanski","out","Hoffenheim","Germany",NA,NA,""
"01/07","Allemagne","Marvin Schwäbe","out","Hoffenheim","Germany","Bröndby","Denmark",""
"01/07","Allemagne","Mark Uth","out","Hoffenheim","Germany","Schalke 04",NA,"Free"
"03/07","Turquie","Baris Atik","out","Hoffenheim","Germany","Dresden",NA,"700 k€"
"16/07","Brésil","Bruno Nazário","out","Hoffenheim","Germany","Atlético PR","Brazil","Loan"
"09/08","Allemagne","Philipp Ochs","out","Hoffenheim","Germany","Aalborg","Denmark","Loan"
"22/08","Autriche","Robert Zulj","out","Hoffenheim","Germany","Union",NA,"Loan"
